,date,type_objet,nombre_objets_perdus
80,2016-02-05 00:00:00+00:00,Articles médicaux,7
81,2016-02-05 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",527
82,2016-02-05 00:00:00+00:00,"Bijoux, montres",20
83,2016-02-05 00:00:00+00:00,"Clés, porte-clés, badge magnétique",87
84,2016-02-05 00:00:00+00:00,Divers,30
85,2016-02-05 00:00:00+00:00,Instruments de musique,8
86,2016-02-05 00:00:00+00:00,"Livres, articles de papéterie",49
87,2016-02-05 00:00:00+00:00,Optique,104
88,2016-02-05 00:00:00+00:00,Parapluies,34
89,2016-02-05 00:00:00+00:00,Pièces d'identités et papiers personnels,159
90,2016-02-05 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",161
91,2016-02-05 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",20
92,2016-02-05 00:00:00+00:00,"Vêtements, chaussures",190
93,2016-02-12 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",247
94,2016-02-12 00:00:00+00:00,"Articles d'enfants, de puériculture",21
95,2016-02-12 00:00:00+00:00,"Articles de sport, loisirs, camping",14
96,2016-02-12 00:00:00+00:00,Articles médicaux,14
97,2016-02-12 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",498
98,2016-02-12 00:00:00+00:00,"Bijoux, montres",25
99,2016-02-12 00:00:00+00:00,"Clés, porte-clés, badge magnétique",102
100,2016-02-12 00:00:00+00:00,Divers,24
101,2016-02-12 00:00:00+00:00,Instruments de musique,1
102,2016-02-12 00:00:00+00:00,"Livres, articles de papéterie",50
103,2016-02-12 00:00:00+00:00,Optique,109
104,2016-02-12 00:00:00+00:00,Parapluies,47
105,2016-02-12 00:00:00+00:00,Pièces d'identités et papiers personnels,140
106,2016-02-12 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",206
107,2016-02-12 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",22
108,2016-02-12 00:00:00+00:00,"Vêtements, chaussures",212
109,2016-02-19 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",222
110,2016-02-19 00:00:00+00:00,"Articles d'enfants, de puériculture",23
111,2016-02-19 00:00:00+00:00,"Articles de sport, loisirs, camping",16
112,2016-02-19 00:00:00+00:00,Articles médicaux,9
113,2016-02-19 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",465
114,2016-02-19 00:00:00+00:00,"Bijoux, montres",18
115,2016-02-19 00:00:00+00:00,"Clés, porte-clés, badge magnétique",75
116,2016-02-19 00:00:00+00:00,Divers,24
117,2016-02-19 00:00:00+00:00,Instruments de musique,3
118,2016-02-19 00:00:00+00:00,"Livres, articles de papéterie",37
119,2016-02-19 00:00:00+00:00,Optique,75
120,2016-02-19 00:00:00+00:00,Parapluies,31
121,2016-02-19 00:00:00+00:00,Pièces d'identités et papiers personnels,199
122,2016-02-19 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",204
123,2016-02-19 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",20
124,2016-02-19 00:00:00+00:00,"Vêtements, chaussures",207
125,2016-02-26 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",259
126,2016-02-26 00:00:00+00:00,"Articles d'enfants, de puériculture",36
127,2016-02-26 00:00:00+00:00,"Articles de sport, loisirs, camping",24
128,2016-02-26 00:00:00+00:00,Articles médicaux,1
129,2016-02-26 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",521
130,2016-02-26 00:00:00+00:00,"Bijoux, montres",27
131,2016-02-26 00:00:00+00:00,"Clés, porte-clés, badge magnétique",74
132,2016-02-26 00:00:00+00:00,Divers,31
133,2016-02-26 00:00:00+00:00,Instruments de musique,4
134,2016-02-26 00:00:00+00:00,"Livres, articles de papéterie",39
135,2016-02-26 00:00:00+00:00,Optique,109
136,2016-02-26 00:00:00+00:00,Parapluies,34
137,2016-02-26 00:00:00+00:00,Pièces d'identités et papiers personnels,145
138,2016-02-26 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",191
139,2016-02-26 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",19
140,2016-02-26 00:00:00+00:00,"Vêtements, chaussures",233
141,2016-03-04 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",217
142,2016-03-04 00:00:00+00:00,"Articles d'enfants, de puériculture",23
143,2016-03-04 00:00:00+00:00,"Articles de sport, loisirs, camping",17
144,2016-03-04 00:00:00+00:00,Articles médicaux,9
145,2016-03-04 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",509
146,2016-03-04 00:00:00+00:00,"Bijoux, montres",11
147,2016-03-04 00:00:00+00:00,"Clés, porte-clés, badge magnétique",91
148,2016-03-04 00:00:00+00:00,Divers,40
149,2016-03-04 00:00:00+00:00,Instruments de musique,2
150,2016-03-04 00:00:00+00:00,"Livres, articles de papéterie",51
151,2016-03-04 00:00:00+00:00,Optique,85
152,2016-03-04 00:00:00+00:00,Parapluies,28
